district_id,percent_economically_disadvantaged,subject,avg_scaled_score1,avg_scaled_score
1030000,58.3,MATH,477,495.0623
1030000,58.3,SCI,482,495.0623
6720000,38.5,ELA,494,495.0623
6720000,38.5,MATH,486,495.0623
1050000,11.5,MATH,491,495.0623
6740000,52.8,ELA,488,495.0623
6740000,52.8,MATH,478,495.0623
6740000,52.8,SCI,489,495.0623
4960000,59.4,ELA,492,495.0623
4960000,59.4,MATH,480,495.0623
4960000,59.4,SCI,482,495.0623
1070000,41.5,MATH,489,495.0623
1070000,41.5,SCI,492,495.0623
1110000,33,ELA,491,495.0623
1110000,33,MATH,482,495.0623
1110000,33,SCI,493,495.0623
39010000,50,ELA,493,495.0623
39010000,50,MATH,484,495.0623
39010000,50,SCI,488,495.0623
1140000,54.9,ELA,488,495.0623
1140000,54.9,MATH,475,495.0623
1140000,54.9,SCI,488,495.0623
1170000,23.5,MATH,492,495.0623
4990000,52.2,ELA,494,495.0623
4990000,52.2,MATH,488,495.0623
4990000,52.2,SCI,481,495.0623
35160000,52,MATH,490,495.0623
35160000,52,SCI,488,495.0623
6800000,20.5,MATH,494,495.0623
6830000,17.8,ELA,495,495.0623
6830000,17.8,MATH,489,495.0623
1210000,32.1,ELA,492,495.0623
1210000,32.1,MATH,483,495.0623
1270000,16,MATH,486,495.0623
1270000,16,SCI,495,495.0623
1280000,55.3,ELA,488,495.0623
1280000,55.3,MATH,480,495.0623
1280000,55.3,SCI,485,495.0623
6850000,50.8,ELA,486,495.0623
6850000,50.8,MATH,473,495.0623
6850000,50.8,SCI,483,495.0623
4190000,66.1,ELA,485,495.0623
4190000,66.1,MATH,479,495.0623
4190000,66.1,SCI,480,495.0623
4550000,31.6,ELA,492,495.0623
4550000,31.6,MATH,473,495.0623
4550000,31.6,SCI,484,495.0623
1330000,36.9,ELA,495,495.0623
1330000,36.9,MATH,485,495.0623
1350000,32.2,MATH,489,495.0623
1370000,80.7,ELA,475,495.0623
1370000,80.7,MATH,466,495.0623
1370000,80.7,SCI,471,495.0623
4530000,77.2,ELA,486,495.0623
4530000,77.2,MATH,476,495.0623
4530000,77.2,SCI,485,495.0623
6030000,54.1,ELA,486,495.0623
6030000,54.1,MATH,477,495.0623
6030000,54.1,SCI,484,495.0623
1410000,30.8,ELA,493,495.0623
1410000,30.8,MATH,486,495.0623
1410000,30.8,SCI,491,495.0623
1420000,33.5,MATH,494,495.0623
4350000,18.7,MATH,494,495.0623
4350000,18.7,SCI,494,495.0623
1440000,15.4,MATH,494,495.0623
4630000,11.1,ELA,484,495.0623
4630000,11.1,MATH,475,495.0623
4630000,11.1,SCI,473,495.0623
4290000,21.1,ELA,492,495.0623
4290000,21.1,MATH,484,495.0623
4290000,21.1,SCI,490,495.0623
6900000,72.4,MATH,495,495.0623
1450000,57.9,MATH,492,495.0623
1490000,79.5,ELA,478,495.0623
1490000,79.5,MATH,472,495.0623
1490000,79.5,SCI,477,495.0623
4540000,67.7,MATH,485,495.0623
4860000,71.2,ELA,485,495.0623
4860000,71.2,MATH,475,495.0623
4860000,71.2,SCI,482,495.0623
1500000,38.5,MATH,487,495.0623
1500000,38.5,SCI,493,495.0623
1510000,31.4,ELA,492,495.0623
1510000,31.4,MATH,486,495.0623
1530000,48.3,ELA,491,495.0623
1530000,48.3,MATH,483,495.0623
1530000,48.3,SCI,490,495.0623
1540000,18.6,MATH,493,495.0623
35140000,83.2,ELA,480,495.0623
35140000,83.2,MATH,478,495.0623
35140000,83.2,SCI,478,495.0623
1600000,64.9,ELA,485,495.0623
1600000,64.9,MATH,480,495.0623
1600000,64.9,SCI,479,495.0623
4560000,58.2,MATH,489,495.0623
4560000,58.2,SCI,492,495.0623
1610000,32.2,ELA,491,495.0623
1610000,32.2,MATH,487,495.0623
1610000,32.2,SCI,490,495.0623
1620000,21.4,MATH,493,495.0623
1630000,65.6,ELA,484,495.0623
1630000,65.6,MATH,475,495.0623
1630000,65.6,SCI,482,495.0623
1650000,2.3,ELA,493,495.0623
1650000,2.3,MATH,484,495.0623
1650000,2.3,SCI,487,495.0623
4640000,12.2,MATH,494,495.0623
1700000,25.3,ELA,488,495.0623
1700000,25.3,MATH,482,495.0623
1700000,25.3,SCI,487,495.0623
4660000,34.3,MATH,489,495.0623
4920000,41.6,ELA,486,495.0623
4920000,41.6,MATH,471,495.0623
4920000,41.6,SCI,489,495.0623
1720000,8.4,MATH,488,495.0623
4690000,36.1,ELA,487,495.0623
4690000,36.1,MATH,476,495.0623
4690000,36.1,SCI,484,495.0623
1740000,20.9,MATH,488,495.0623
1760000,34.9,MATH,486,495.0623
1760000,34.9,SCI,491,495.0623
7100000,11.7,MATH,490,495.0623
1810000,43.8,ELA,492,495.0623
1810000,43.8,MATH,484,495.0623
1810000,43.8,SCI,489,495.0623
1820000,34,ELA,495,495.0623
1820000,34,MATH,493,495.0623
1850000,47,ELA,492,495.0623
1850000,47,MATH,484,495.0623
1850000,47,SCI,490,495.0623
